"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"372",0,0,1,0,0,0,993504,0,13,97,89,2,0,0.004,0.996,3,0,0,1
"373",1,1,0,0,1,0,993803,1,13,100,83,1,0.969,0.001,0.03,1,1,0,0
"374",0,1,1,0,1,0,995501,0,9,NA,NA,4,0.377,0.069,0.554,3,0,0,1
"375",1,0,0,0,1,0,998201,0,13,75,106,2,0,0.035,0.965,3,0,0,1
"376",1,1,0,0,1,0,1000003,0,11,96,88,NA,0.969,0.001,0.03,1,1,0,0
"377",0,0,1,0,1,0,1000803,0,15,89,97,6,0,0.116,0.884,3,0,0,1
"378",0,1,1,1,1,0,1002607,0,6,88,75,6,0.14,0.41,0.45,3,0,0,1
"379",0,0,0,1,1,1,1004903,1,8,112,94,NA,0,1,0,2,0,1,0
"380",0,0,1,1,1,1,1007301,0,8,88,89,5,0,1,0,2,0,1,0
"381",0,1,0,0,1,0,1013503,1,10,87,77,1,0.424,0.025,0.551,3,0,0,1
"382",1,0,0,1,1,0,1016802,1,12,NA,NA,NA,0,0.207,0.793,3,0,0,1
"383",1,1,0,1,0,0,1019302,1,13,NA,NA,1,0.922,0.001,0.077,1,1,0,0
"384",1,1,1,0,1,0,1022602,0,16,110,118,7,0.963,0.003,0.034,1,1,0,0
"385",1,1,1,1,0,0,1022901,0,14,102,102,2,0.912,0.002,0.086,1,1,0,0
"386",0,0,1,1,0,0,1023702,1,12,100,102,7,0,0.029,0.971,3,0,0,1
"387",0,1,0,0,1,0,1030801,0,20,126,110,5,0.424,0.025,0.551,3,0,0,1
"388",0,0,1,1,1,1,1031302,1,16,91,91,8,0,1,0,2,0,1,0
"389",0,1,1,0,1,0,1033201,0,11,97,92,1,0.377,0.069,0.554,3,0,0,1
"390",0,1,1,1,1,1,1037703,1,12,99,85,NA,0.024,0.976,0,2,0,1,0
"391",0,1,1,1,1,0,1037802,1,14,102,83,4,0.14,0.41,0.45,3,0,0,1
"392",1,1,0,1,1,0,1042102,0,12,105,103,5,0.922,0.016,0.063,1,1,0,0
"393",0,1,0,0,0,0,1044801,1,14,116,107,5,0.386,0.001,0.614,3,0,0,1
"394",0,1,0,0,0,0,1045001,0,16,108,107,7,0.386,0.001,0.614,3,0,0,1
"395",1,0,0,0,1,0,1176102,1,13,108,112,7,0,0.035,0.965,3,0,0,1
"396",1,0,0,1,1,0,1176402,1,11,NA,NA,5,0,0.207,0.793,3,0,0,1
"397",1,1,0,1,0,0,1176501,1,11,NA,NA,NA,0.922,0.001,0.077,1,1,0,0
"398",0,1,1,0,0,1,1178501,0,12,99,106,5,0.914,0.086,0,1,1,0,0
"399",0,1,0,0,1,0,1180701,0,12,102,83,4,0.424,0.025,0.551,3,0,0,1
"400",1,1,1,0,1,0,1183501,1,16,111,101,8,0.963,0.003,0.034,1,1,0,0
"401",0,1,0,1,1,0,1183902,0,12,102,102,2,0.208,0.198,0.594,3,0,0,1
"402",0,0,0,1,1,1,1184501,0,14,97,98,NA,0,1,0,2,0,1,0
"403",0,0,1,1,1,0,1184703,1,12,119,97,7,0,0.49,0.51,3,0,0,1
"404",1,1,1,0,0,0,1185301,0,14,NA,NA,7,0.959,0,0.041,1,1,0,0
"405",1,1,1,0,0,0,1187402,1,14,NA,NA,NA,0.959,0,0.041,1,1,0,0
"406",1,1,0,0,0,0,1191801,0,17,125,126,4,0.963,0,0.037,1,1,0,0
"407",1,1,0,0,0,0,1199901,1,16,NA,NA,NA,0.963,0,0.037,1,1,0,0
"408",1,1,1,1,0,0,1202501,1,16,125,96,8,0.912,0.002,0.086,1,1,0,0
"409",0,0,1,0,1,0,1202702,1,12,114,65,6,0,0.116,0.884,3,0,0,1
"410",1,1,1,0,1,0,1210402,0,14,NA,NA,7,0.963,0.003,0.034,1,1,0,0
"411",0,0,1,0,1,0,1216201,1,12,107,NA,5,0,0.116,0.884,3,0,0,1
"412",0,0,0,0,1,0,1219104,0,10,82,104,5,0,0.046,0.954,3,0,0,1
"413",0,0,0,0,1,0,1219301,1,15,NA,NA,7,0,0.046,0.954,3,0,0,1
"414",0,1,1,1,0,0,1222803,0,12,107,117,6,0.198,0.022,0.781,3,0,0,1
"415",1,1,1,1,1,0,1230404,0,11,108,97,5,0.885,0.046,0.068,1,1,0,0
"416",1,1,0,1,1,0,1256603,0,14,100,95,5,0.922,0.016,0.063,1,1,0,0
